"id","x","y","weight"
"EDINAIR","315100.20544647035","673500.0480041554","312"
"CONBRGH","450900.08879643417","399450.2903387552","27"
"STNBGPK","519649.6692807609","184202.0495975964","475"
"ASHBRYS","387190.75550344883","397229.4268642834","95"
"CHTLRT","274320.27684512915","654250.3008553139","68"
"MILKNPK","241399.86304182507","661999.9816307451","71"
"WHALYBG","401119.66840762843","381479.6596728923","39"
"BOOTLE","309370.100790794","489304.9522489952","28"
"BNRHYDN","413400.00337156304","447749.7292223786","112"
"SHNS","410640.10624649626","304635.2441162854","73"
"BNTHAM","366714.74895765237","468970.4833864827","16"
"SHAWFD","447245.2682594801","124964.64246193843","45"
"RISCA","324457.9544789571","190233.52069420635","64"
"ABRDEEN","394126.70217444596","805871.7114164751","155"
"ALTNBRC","300340.0155171278","945680.3411278586","7"
"CARK","336520.22665457474","476234.64307438093","36"
