"id","x","y","weight"
"1800SG39451","390105.15515352646","394416.87235945754","5"
"2500LAA00062","384809.9731601679","431612.5996572303","31"
"1800ED17091","391853.15599510336","405091.05010396877","104"
"2500LAA00061","384832.9745106574","431694.41229849716","14"
"2800S42048C","335766.9985714524","390067.68293363845","11"
"2500LAA00064","374965.0477051476","427181.6492193339","7"
"0600CO19045","375072.1212621018","368850.9911277869","4"
"1800SG40451","385887.0738147482","390572.82693793846","111"
"1800SJ04531","376775.03714000434","390607.57658013917","37"
"2500LAA00063","374166.0379189888","427294.5962785876","7"
"0600CO19043","383635.0455038996","363029.9072267297","1"
"1800WA17561","369408.16952094564","407817.97088217066","12"
"1800WA42521","373176.14784815104","406619.72281403467","37"
"2500LAA00080","359730.96025525784","474640.380800033","11"
"1800WK04991","356900.0068611803","401576.7064584454","64"
"069000014430","355908.03740245936","388495.6877209096","17"
"1800NE44321","386124.1714641934","412279.6015659678","66"
"1800NB43191","384944.1631715154","404013.5491107381","19"
"1800WA05581","369474.1028719611","411285.94888818695","11"
"1800SG39461","389949.10341645253","394276.69108558027","2"
"2800S42049A","335952.06650377496","390049.04246340296","11"
"0600CO19051","371372.08305731823","364510.85808890616","17"
"2500LAA00071","349792.12756196916","472195.40071538975","17"
"2500LAA00070","349701.10571640974","471320.2025635713","17"
"3800C594301","385393.99992316135","356077.93711860967","4"
"2500LAA00073","350003.0634399897","475994.3208001746","8"
"2500LAA00072","350341.0898034147","474392.05776232015","10"
"1800SJ04541","377069.006698713","390653.64497719455","37"
"1800SG40441","387272.1303546665","391518.6456942449","75"
"2500DCL2117","348093.25216589146","463665.078129875","23"
"2500DCL2116","348083.19814811624","463673.2029377194","22"
"2500DCL2115","348249.22630545235","463910.3606257441","23"
"2500DCL2114","348245.2368263378","463922.3118147857","22"
"2500DCL2113","350901.1799941093","464988.043171681","17"
"1800WA17531","369326.11894493765","407393.71774727944","36"
"1800WA42531","373085.15373949986","406532.9054388457","38"
"2500DCL2112","350547.18732463487","464909.0317804379","16"
"2500DCL2111","350625.21741433506","464911.9802246576","17"
"2500LAA00091","354826.079964825","470026.4030085616","3"
"2500DCL2110","350487.2176739377","465070.911813671","33"
"2500LAA00090","354808.0583830057","470028.24877559766","3"
"069000014400","356558.0442992876","388055.9883560083","18"
"1800NE44351","386617.1553371802","412498.7858492909","15"
"1800WK02301","358272.05415703123","405482.6634228166","144"
"1800WK04961","356922.9664006609","400975.46060272015","62"
"0600CO19026","380892.0069170426","355864.69358060264","12"
"0600CO19027","381264.0067316492","356182.83376212954","4"
"1800WA05551","368790.16334966314","410929.7417128063","7"
"2500LAA00089","357696.21846122644","424846.8273658771","81"
"0600CO19025","370792.131507356","364720.6383141058","9"
"1800SG40471","387649.1057492643","391500.61788379954","31"
"60903769","259185.86886196592","665871.6038939487","3"
"1800EB14451","384691.1750909129","398999.6362192351","35"
"0600CO19028","381093.9871760806","356075.70528494235","4"
"1800SG39471","389907.1003437369","394264.877244241","5"
"2500LAA00084","357074.99359481665","469989.2205464514","7"
"0600CO19022","387812.0322502557","361717.07401156914","31"
"60903768","259184.88887401563","665866.512117461","4"
"0600CO19023","387702.07082721865","361916.82639799104","31"
"2500DCL2119","348038.2049111057","463368.1455360425","22"
"2500LAA00088","342716.05323407846","415704.5691785259","2"
"0600CO19021","387464.0414423794","361779.9462146691","21"
"2500DCL2118","348046.2451968522","463367.16492859274","23"
"2500LAA00087","382739.9840664886","433602.72125327925","15"
"2500DCL2106","350489.0523280295","469886.2250238139","10"
"2500DCL2105","344905.0473298585","416193.6568971602","8"
"1800WA17541","369317.0964593568","407482.8953268395","38"
"1800WA42541","372918.12982394535","406485.9128358546","37"
"2500DCL2104","350300.0989215753","470021.12139432156","21"
